	asin	author	author_title	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title
71		George R R Martin	George R R Martin**A DANCE WITH DRAGONS	0553801473	9780553801477	2011-08-20	6	7	6	A DANCE WITH DRAGONS
72		Sara Gruen	Sara Gruen**WATER FOR ELEPHANTS	1565125851	9781565125858	2011-08-20	30	14	10	WATER FOR ELEPHANTS
73		Daniel Silva	Daniel Silva**PORTRAIT OF A SPY	None	9780062072191	2011-08-20	0	0	16	PORTRAIT OF A SPY
74		Brad Thor	Brad Thor**FULL BLACK	1416586768	9781416586760	2011-08-20	4	8	14	FULL BLACK
75		George R R Martin	George R R Martin**A GAME OF THRONES	0553897845	9780553897845	2011-08-20	19	6	8	A GAME OF THRONES
76		Kathryn Stockett	Kathryn Stockett**THE HELP	1440697663	9781440697661	2011-08-20	27	1	1	THE HELP
77		Julie Garwood	Julie Garwood**THE IDEAL MAN	None	9781101535523	2011-08-20	0	0	17	THE IDEAL MAN
78		Nicholas Sparks	Nicholas Sparks**SAFE HAVEN	0446547603	9780446547604	2011-08-20	3	11	7	SAFE HAVEN
79		David Nicholls	David Nicholls**ONE DAY	0307739309	9780307739308	2011-08-20	3	5	3	ONE DAY
80		R L Mathewson	R L Mathewson**DOUBLE DARE	0988573237	9780988573239	2015-05-02	1	0	15	DOUBLE DARE
81		Paula Hawkins	Paula Hawkins**THE GIRL ON THE TRAIN	0698185390	9780698185395	2015-05-02	16	2	2	THE GIRL ON THE TRAIN
82		Sara Gruen	Sara Gruen**AT THE WATER'S EDGE	0812997891	9780812997897	2015-05-02	0	0	20	AT THE WATER'S EDGE
83		Greg Iles	Greg Iles**THE BONE TREE	006231114X	9780062311146	2015-05-02	2	3	10	THE BONE TREE
84		Diana Gabaldon	Diana Gabaldon**OUTLANDER	0440335167	9780440335160	2015-05-02	17	11	14	OUTLANDER
85		Lee Child	Lee Child**PERSONAL	0804178755	9780804178754	2015-05-02	0	0	19	PERSONAL
86		Nora Roberts	Nora Roberts**THE LIAR	None	9780698161351	2015-05-02	3	5	5	THE LIAR
87		Anthony Doerr	Anthony Doerr**ALL THE LIGHT WE CANNOT SEE		9781476746609	2015-05-02	33	4	4	ALL THE LIGHT WE CANNOT SEE
88		Susan Mallery	Susan Mallery**HOLD ME	None	9781460380697	2015-05-02	1	0	6	HOLD ME
89		Elle Kennedy	Elle Kennedy**THE MISTAKE	None	9780994054418	2015-05-02	1	0	11	THE MISTAKE
90		Lisa Scottoline	Lisa Scottoline**EVERY FIFTEEN MINUTES	None	9781466874619	2015-05-02	0	0	18	EVERY FIFTEEN MINUTES
91		Iris Johansen	Iris Johansen**YOUR NEXT BREATH	1250020077	9781250020079	2015-05-02	1	0	7	YOUR NEXT BREATH
92		Nicholas Sparks	Nicholas Sparks**THE LONGEST RIDE	1455520667	9781455520664	2015-05-02	25	8	12	THE LONGEST RIDE
93		Kristin Hannah	Kristin Hannah**THE NIGHTINGALE	1466850604	9781466850606	2015-05-02	13	10	8	THE NIGHTINGALE
94		Toni Morrison	Toni Morrison**GOD HELP THE CHILD	0307594173	9780307594174	2015-05-02	0	0	16	GOD HELP THE CHILD
95		David Baldacci	David Baldacci**MEMORY MAN	1455586382	9781455586387	2015-05-02	2	1	3	MEMORY MAN
96		Jessica Wood	Jessica Wood**PROMISE OF FOREVER	1940285127	9781940285122	2015-05-02	0	0	17	PROMISE OF FOREVER
97		John Sandford	John Sandford**GATHERING PREY	None	9780698152519	2015-05-02	1	0	1	GATHERING PREY
98		Harlan Coben	Harlan Coben**THE STRANGER	0698186206	9780698186200	2015-05-02	6	6	9	THE STRANGER
99		Denise Grover Swank	Denise Grover Swank**THIRTY-FOUR AND A HALF PREDICAMENTS	1939996260	9781939996268	2015-05-02	1	0	13	THIRTY-FOUR AND A HALF PREDICAMENTS
100		Stuart Woods	Stuart Woods**BEL-AIR DEAD	None	9781101513910	2011-04-30	1	0	9	BEL-AIR DEAD
101		Stieg Larsson	Stieg Larsson**THE GIRL WHO KICKED THE HORNET’S NEST	0307593673	9780307593672	2011-04-30	0	0	18	THE GIRL WHO KICKED THE HORNET’S NEST
102		Nora Roberts	Nora Roberts**THE SEARCH	0515149489	9780515149487	2011-04-30	0	0	19	THE SEARCH
103		Emily Giffin	Emily Giffin**SOMETHING BORROWED	1429904607	9781429904605	2011-04-30	3	3	2	SOMETHING BORROWED
104		Jean M Auel	Jean M Auel**THE LAND OF PAINTED CAVES	0517580519	9780517580516	2011-04-30	0	0	16	THE LAND OF PAINTED CAVES
105		Christine Feehan	Christine Feehan**SAVAGE NATURE	0515149330	9780515149333	2011-04-30	1	0	8	SAVAGE NATURE
106		Sherryl Woods	Sherryl Woods**MOONLIGHT COVE	0778329798	9780778329794	2011-04-30	1	0	12	MOONLIGHT COVE
107		Michael Connelly	Michael Connelly**THE FIFTH WITNESS	0316069388	9780316069380	2011-04-30	4	7	7	THE FIFTH WITNESS
108		Lee Child	Lee Child**WORTH DYING FOR	0440246296	9780440246299	2011-04-30	0	0	20	WORTH DYING FOR
109		Paula McLain	Paula McLain**THE PARIS WIFE	0345521323	9780345521323	2011-04-30	8	15	14	THE PARIS WIFE
110		Michael Connelly	Michael Connelly**THE LINCOLN LAWYER	0759514712	9780759514713	2011-04-30	8	6	6	THE LINCOLN LAWYER
111		George R R Martin	George R R Martin**A GAME OF THRONES	0553897845	9780553897845	2011-04-30	3	5	5	A GAME OF THRONES
112		Sara Gruen	Sara Gruen**WATER FOR ELEPHANTS	None	9781616200817	2011-04-30	14	1	1	WATER FOR ELEPHANTS
113		Mary Higgins Clark	Mary Higgins Clark**I’LL WALK ALONE	1439186790	9781439186794	2011-04-30	4	12	15	I’LL WALK ALONE
114		Sherrilyn Kenyon	Sherrilyn Kenyon**BORN OF SHADOWS	0446573248	9780446573245	2011-04-30	0	0	17	BORN OF SHADOWS
115		Nora Roberts	Nora Roberts**CHASING FIRE	None	9781101513781	2011-04-30	3	9	10	CHASING FIRE
116		David Baldacci	David Baldacci**THE SIXTH MAN	0446573078	9780446573078	2011-04-30	2	2	3	THE SIXTH MAN
117		Rachel Gibson	Rachel Gibson**ANY MAN OF MINE	0062079166	9780062079169	2011-04-30	1	0	13	ANY MAN OF MINE
118		Debbie Macomber	Debbie Macomber**A TURN IN THE ROAD	None	9781459201521	2011-04-30	1	0	11	A TURN IN THE ROAD
119		Kathryn Stockett	Kathryn Stockett**THE HELP	0425232204	9780425232200	2011-04-30	11	4	4	THE HELP
120		Debbie Macomber	Debbie Macomber**THE INN AT ROSE HARBOR	0345535111	9780345535115	2015-05-09	5	0	12	THE INN AT ROSE HARBOR
121		Charlaine Harris	Charlaine Harris**DAY SHIFT	None	9781101598818	2015-05-09	0	0	20	DAY SHIFT
122		Paula Hawkins	Paula Hawkins**THE GIRL ON THE TRAIN	0698185390	9780698185395	2015-05-09	17	2	2	THE GIRL ON THE TRAIN
123		Nora Roberts	Nora Roberts**THE LIAR	None	9780698161351	2015-05-09	4	5	7	THE LIAR
124		Greg Iles	Greg Iles**THE BONE TREE	006231114X	9780062311146	2015-05-09	3	10	11	THE BONE TREE
125		Kate Atkinson	Kate Atkinson**A GOD IN RUINS	031634155X	9780316341554	2015-05-09	1	0	9	A GOD IN RUINS
126		Christine Feehan	Christine Feehan**CAT'S LAIR	None	9780698180512	2015-05-09	1	0	6	CAT'S LAIR
127		Janet Evanovich	Janet Evanovich**WICKED BUSINESS	034552778X	9780345527783	2015-05-09	4	0	13	WICKED BUSINESS
128		Diana Gabaldon	Diana Gabaldon**OUTLANDER	0440335167	9780440335160	2015-05-09	0	0	17	OUTLANDER
129		Lisa Scottoline	Lisa Scottoline**EVERY FIFTEEN MINUTES	None	9781466874619	2015-05-09	0	0	18	EVERY FIFTEEN MINUTES
130		Lee Child	Lee Child**PERSONAL	0804178755	9780804178754	2015-05-09	9	0	15	PERSONAL
131		David Baldacci	David Baldacci**MEMORY MAN	1455586382	9781455586387	2015-05-09	3	3	3	MEMORY MAN
132		Kristin Hannah	Kristin Hannah**THE NIGHTINGALE	1466850604	9781466850606	2015-05-09	14	8	8	THE NIGHTINGALE
133		Anthony Doerr	Anthony Doerr**ALL THE LIGHT WE CANNOT SEE	1476746583	9781476746586	2015-05-09	34	4	4	ALL THE LIGHT WE CANNOT SEE
134		John Lescroart	John Lescroart**THE FALL		9781476709239	2015-05-09	1	0	10	THE FALL
135		Helena Hunting	Helena Hunting**PUCKED	None	9780993800146	2015-05-09	0	0	16	PUCKED
136		John Sandford	John Sandford**GATHERING PREY	None	9780698152519	2015-05-09	2	1	5	GATHERING PREY
137		Jodi Picoult	Jodi Picoult**LEAVING TIME	0345544943	9780345544940	2015-05-09	0	0	19	LEAVING TIME
138		Harlan Coben	Harlan Coben**THE STRANGER	0698186206	9780698186200	2015-05-09	7	9	14	THE STRANGER
139		James Patterson and Maxine Paetro	James Patterson and Maxine Paetro**14TH DEADLY SIN	031640876X	9780316408769	2015-05-09	1	0	1	14TH DEADLY SIN
140		Paula Hawkins	Paula Hawkins**THE GIRL ON THE TRAIN	1594634025	9781594634024	2016-08-13	77	3	2	THE GIRL ON THE TRAIN
141		Susan Wiggs	Susan Wiggs**FAMILY TREE	0062425471	9780062425478	2016-08-13	0	0	18	FAMILY TREE
142		Daniel Silva	Daniel Silva**THE BLACK WIDOW	0062320246	9780062320247	2016-08-13	5	11	14	THE BLACK WIDOW
143		Diana Gabaldon	Diana Gabaldon**OUTLANDER	0440335167	9780440335160	2016-08-13	20	0	7	OUTLANDER
144		Colson Whitehead	Colson Whitehead**THE UNDERGROUND RAILROAD	0385542364	9780385542364	2016-08-13	2	6	3	THE UNDERGROUND RAILROAD
145		Debbie Macomber	Debbie Macomber**SWEET TOMORROWS	0553391836	9780553391831	2016-08-13	0	0	17	SWEET TOMORROWS
146		Colleen Hoover	Colleen Hoover**IT ENDS WITH US	1501110373	9781501110375	2016-08-13	0	0	20	IT ENDS WITH US
147		Jojo Moyes	Jojo Moyes**AFTER YOU	0143108867	9780143108863	2016-08-13	16	14	12	AFTER YOU
148		John Grisham	John Grisham**ROGUE LAWYER	0553393480	9780553393484	2016-08-13	17	8	8	ROGUE LAWYER
149		Fredrik Backman	Fredrik Backman**A MAN CALLED OVE	1476738025	9781476738024	2016-08-13	12	0	10	A MAN CALLED OVE
150		Catherine Coulter	Catherine Coulter**INSIDIOUS	1501150316	9781501150319	2016-08-13	1	0	1	INSIDIOUS
151		J A Jance	J A Jance**RANDOM ACTS	0062499041	9780062499042	2016-08-13	1	0	9	RANDOM ACTS
152		Liane Moriarty	Liane Moriarty**TRULY MADLY GUILTY	1250069815	9781250069818	2016-08-13	3	4	4	TRULY MADLY GUILTY
153		James Patterson and Michael Ledwidge	James Patterson and Michael Ledwidge**BULLSEYE	0316284556	9780316284554	2016-08-13	2	1	5	BULLSEYE
154		Jojo Moyes	Jojo Moyes**ME BEFORE YOU	0143130153	9780143130154	2016-08-13	28	13	15	ME BEFORE YOU
155		Joanna Wylde	Joanna Wylde**REAPER'S FIRE	None	9781101988978	2016-08-13	0	0	19	REAPER'S FIRE
156		Philippa Gregory	Philippa Gregory**THREE SISTERS, THREE QUEENS	1476758751	9781476758756	2016-08-13	1	0	6	THREE SISTERS, THREE QUEENS
157		Ruth Ware	Ruth Ware**THE WOMAN IN CABIN 10	1501132946	9781501132940	2016-08-13	2	0	13	THE WOMAN IN CABIN 10
158		Kristen Pro	Kristen Pro**CLOSE TO YOU	0062434780	9780062434784	2016-08-13	1	0	11	CLOSE TO YOU
159		Nicholas Sparks	Nicholas Sparks**SEE ME	1455520624	9781455520626	2016-08-13	0	0	16	SEE ME
160		Whitney Gracia Williams	Whitney Gracia Williams**REASONABLE DOUBT	0990317005	9780990317005	2014-04-12	0	0	18	REASONABLE DOUBT
161		Kristen Ashley	Kristen Ashley**THE WILL	None	A00B00HYIF9FW	2014-04-12	1	0	11	THE WILL
162		John Grisham	John Grisham**SYCAMORE ROW	0385537921	9780385537926	2014-04-12	0	0	19	SYCAMORE ROW
163		Lee Child	Lee Child**NEVER GO BACK	0440246326	9780440246329	2014-04-12	8	15	15	NEVER GO BACK
164		Sue Monk Kidd	Sue Monk Kidd**THE INVENTION OF WINGS		9780698175242	2014-04-12	14	11	13	THE INVENTION OF WINGS
165		Laurelin Paige	Laurelin Paige**THE FIXED TRILOGY	0991379640	9780991379644	2014-04-12	4	3	2	THE FIXED TRILOGY
166		Stuart Woods	Stuart Woods**CARNAL CURIOSITY	None	9781101615898	2014-04-12	1	0	1	CARNAL CURIOSITY
167		Liane Moriarty	Liane Moriarty**THE HUSBAND'S SECRET		9781101636237	2014-04-12	34	9	10	THE HUSBAND'S SECRET
168		Nora Roberts	Nora Roberts**SHADOW SPELL	None	9780698140271	2014-04-12	3	4	6	SHADOW SPELL
169		Philippa Gregory	Philippa Gregory**THE BOLEYN INHERITANCE	0743298543	9780743298544	2014-04-12	0	0	16	THE BOLEYN INHERITANCE
170		Lisa Scottoline	Lisa Scottoline**KEEP QUIET	1466842040	9781466842045	2014-04-12	1	0	7	KEEP QUIET
171		James Patterson and Marshall Karp	James Patterson and Marshall Karp**NYPD RED 2	0316211249	9780316211246	2014-04-12	3	6	4	NYPD RED 2
172		Wiley Cash	Wiley Cash**A LAND MORE KIND THAN HOME	0062088246	9780062088246	2014-04-12	1	0	12	A LAND MORE KIND THAN HOME
173		Christina Baker Kline	Christina Baker Kline**ORPHAN TRAIN		9780062101204	2014-04-12	12	8	8	ORPHAN TRAIN
174		J R Ward	J R Ward**THE KING		9781101602188	2014-04-12	0	0	17	THE KING
175		Donna Tartt	Donna Tartt**THE GOLDFINCH		9780316248679	2014-04-12	25	7	9	THE GOLDFINCH
176		Mary Higgins Clark	Mary Higgins Clark**I'VE GOT YOU UNDER MY SKIN	1476749108	9781476749105	2014-04-12	2	2	5	I'VE GOT YOU UNDER MY SKIN
177		Harlan Coben	Harlan Coben**MISSING YOU	0698148630	9780698148635	2014-04-12	4	5	3	MISSING YOU
178		Brian McGilloway	Brian McGilloway**LITTLE GIRL LOST	None	9780062336583	2014-04-12	0	0	20	LITTLE GIRL LOST
179		George R R Martin	George R R Martin**A GAME OF THRONES	0553897845	9780553897845	2014-04-12	41	0	14	A GAME OF THRONES
180		Gillian Flynn	Gillian Flynn**GONE GIRL	0307588378	9780307588371	2014-05-17	77	6	5	GONE GIRL
181		Jo Nesbo	Jo Nesbo**THE SON	None	9780385351386	2014-05-17	1	0	13	THE SON
182		James Patterson and Maxine Paetro	James Patterson and Maxine Paetro**UNLUCKY 13	0316211281	9780316211284	2014-05-17	2	1	1	UNLUCKY 13
183		Jim Butcher	Jim Butcher**STORM FRONT	None	9781101128657	2014-05-17	1	0	14	STORM FRONT
184		Jim Butcher	Jim Butcher**GRAVE PERIL	None	9781440653902	2014-05-17	0	0	19	GRAVE PERIL
185		Nora Roberts	Nora Roberts**THE COLLECTOR	1101617284	9781101617281	2014-05-17	5	9	10	THE COLLECTOR
186		Craig Johnson	Craig Johnson**ANY OTHER NAME	0698163532	9780698163539	2014-05-17	1	0	9	ANY OTHER NAME
187		John Sandford	John Sandford**FIELD OF PREY	None	9781101597781	2014-05-17	2	2	2	FIELD OF PREY
188		Liane Moriarty	Liane Moriarty**THE HUSBAND'S SECRET		9781101636237	2014-05-17	38	0	15	THE HUSBAND'S SECRET
189		Greg Iles	Greg Iles**NATCHEZ BURNING	0062311107	9780062311108	2014-05-17	3	8	8	NATCHEZ BURNING
190		Nicholas Sparks	Nicholas Sparks**THE LONGEST RIDE	1455520640	9781455520640	2014-05-17	0	0	20	THE LONGEST RIDE
191		Jim Butcher	Jim Butcher**FOOL MOON	None	9781440631696	2014-05-17	0	0	17	FOOL MOON
192		David Baldacci	David Baldacci**THE TARGET	145552123X	9781455521234	2014-05-17	4	3	3	THE TARGET
193		Lauren Blakely	Lauren Blakely**AFTER THIS NIGHT	None	A00B00JG8FMT6	2014-05-17	0	0	16	AFTER THIS NIGHT
194		Donna Tartt	Donna Tartt**THE GOLDFINCH		9780316248679	2014-05-17	30	4	4	THE GOLDFINCH
195		Dan Brown	Dan Brown**INFERNO	1400079152	9781400079155	2014-05-17	25	11	7	INFERNO
196		Jeffery Deaver	Jeffery Deaver**THE SKIN COLLECTOR	1455517119	9781455517114	2014-05-17	1	0	6	THE SKIN COLLECTOR
197		James Rollins and Grant Blackwood	James Rollins and Grant Blackwood**THE KILL SWITCH	0062135287	9780062135285	2014-05-17	1	0	12	THE KILL SWITCH
198		Christina Baker Kline	Christina Baker Kline**ORPHAN TRAIN		9780062101204	2014-05-17	17	13	11	ORPHAN TRAIN
199		George R R Martin	George R R Martin**A GAME OF THRONES	0553897845	9780553897845	2014-05-17	0	0	18	A GAME OF THRONES
200		Brad Thor	Brad Thor**CODE OF CONDUCT	1476717176	9781476717173	2015-07-18	2	4	8	CODE OF CONDUCT
201		Paula Hawkins	Paula Hawkins**THE GIRL ON THE TRAIN	0698185390	9780698185395	2015-07-18	27	2	3	THE GIRL ON THE TRAIN
202		Catherine Coulter	Catherine Coulter**NEMESIS	None	9780698164895	2015-07-18	2	3	12	NEMESIS
203		Jessica Knoll	Jessica Knoll**LUCKIEST GIRL ALIVE	1476789657	9781476789651	2015-07-18	10	11	13	LUCKIEST GIRL ALIVE
204		Andy Weir	Andy Weir**THE MARTIAN	None	9780804139038	2015-07-18	8	8	7	THE MARTIAN
205		Jennifer Ashley	Jennifer Ashley**BAD WOLF	1941229654	9781941229651	2015-07-18	0	0	19	BAD WOLF
206		Susan Wiggs	Susan Wiggs**SUMMER AT WILLOW LAKE	None	9781459247901	2015-07-18	0	0	16	SUMMER AT WILLOW LAKE
207		Stephen King	Stephen King**FINDERS KEEPERS	1501100130	9781501100130	2015-07-18	0	0	20	FINDERS KEEPERS
208		Harper Lee	Harper Lee**GO SET A WATCHMAN	0062409859	9780062409850	2015-07-18	1	0	1	GO SET A WATCHMAN
209		Elin Hilderbrand	Elin Hilderbrand**THE RUMOR	0316334502	9780316334501	2015-07-18	5	10	10	THE RUMOR
210		James Patterson and Howard Roughan	James Patterson and Howard Roughan**TRUTH OR DIE	0316408735	9780316408738	2015-07-18	4	13	14	TRUTH OR DIE
211		Stuart Woods	Stuart Woods**NAKED GREED	None	9781101664247	2015-07-18	1	0	6	NAKED GREED
212		E L James	E L James**GREY	1101946350	9781101946350	2015-07-18	5	1	2	GREY
